entity_name,entity_type,salty,umami,sweet,sour,bitter,notes
bakery products,ingredient,0.0,0.967,0.167,0.0,0.333,"Category: Bakery, Molecules: 6"
bread,ingredient,0.0,0.163,0.347,0.163,0.302,"Category: Bakery, Molecules: 129"
rye bread,ingredient,0.0,0.133,0.467,0.167,0.267,"Category: Bakery, Molecules: 30"
wheaten bread,ingredient,0.0,0.293,0.393,0.2,0.167,"Category: Bakery, Molecules: 30"
white bread,ingredient,0.0,0.077,0.538,0.077,0.154,"Category: Bakery, Molecules: 13"
wholewheat bread,ingredient,0.014,0.19,0.221,0.103,0.276,"Category: Bakery, Molecules: 58"
wort,ingredient,0.0,0.302,0.362,0.127,0.143,"Category: Beverage, Molecules: 63"
arrack,ingredient,0.0,0.0,0.4,0.2,0.6,"Category: Beverage Alcoholic, Molecules: 5"
beer,ingredient,0.0,0.193,0.385,0.129,0.202,"Category: Beverage Alcoholic, Molecules: 263"
bantu beer,ingredient,0.0,0.231,0.446,0.077,0.231,"Category: Beverage Alcoholic, Molecules: 13"
brandy,ingredient,0.0,0.256,0.48,0.12,0.26,"Category: Beverage Alcoholic, Molecules: 50"
anise brandy,ingredient,0.0,0.251,0.471,0.137,0.255,"Category: Beverage Alcoholic, Molecules: 51"
apple brandy,ingredient,0.011,0.186,0.514,0.122,0.23,"Category: Beverage Alcoholic, Molecules: 74"
armagnac brandy,ingredient,0.0,0.251,0.471,0.137,0.255,"Category: Beverage Alcoholic, Molecules: 51"
blackberry brandy,ingredient,0.0,0.251,0.471,0.118,0.255,"Category: Beverage Alcoholic, Molecules: 51"
cherry brandy,ingredient,0.0,0.246,0.481,0.115,0.269,"Category: Beverage Alcoholic, Molecules: 52"
cognac brandy,ingredient,0.004,0.185,0.426,0.162,0.146,"Category: Beverage Alcoholic, Molecules: 204"
papaya brandy,ingredient,0.0,0.251,0.49,0.118,0.275,"Category: Beverage Alcoholic, Molecules: 51"
pear brandy,ingredient,0.012,0.2,0.438,0.109,0.234,"Category: Beverage Alcoholic, Molecules: 64"
plum brandy,ingredient,0.0,0.197,0.427,0.133,0.2,"Category: Beverage Alcoholic, Molecules: 75"
raspberry brandy,ingredient,0.0,0.246,0.5,0.115,0.25,"Category: Beverage Alcoholic, Molecules: 52"
weinbrand brandy,ingredient,0.0,0.26,0.453,0.113,0.264,"Category: Beverage Alcoholic, Molecules: 53"
gin,ingredient,0.0,0.059,0.353,0.412,0.353,"Category: Beverage Alcoholic, Molecules: 17"
rum,ingredient,0.0,0.217,0.41,0.144,0.185,"Category: Beverage Alcoholic, Molecules: 195"
whisky,ingredient,0.007,0.235,0.417,0.12,0.157,"Category: Beverage Alcoholic, Molecules: 108"
bourbon whisky,ingredient,0.007,0.24,0.439,0.114,0.14,"Category: Beverage Alcoholic, Molecules: 114"
canadian whisky,ingredient,0.008,0.242,0.429,0.114,0.143,"Category: Beverage Alcoholic, Molecules: 105"
finnish whisky,ingredient,0.007,0.243,0.411,0.116,0.152,"Category: Beverage Alcoholic, Molecules: 112"
japanese whisky,ingredient,0.007,0.229,0.414,0.108,0.153,"Category: Beverage Alcoholic, Molecules: 111"
malt whisky,ingredient,0.006,0.229,0.451,0.105,0.15,"Category: Beverage Alcoholic, Molecules: 133"
scotch whisky,ingredient,0.007,0.231,0.407,0.146,0.154,"Category: Beverage Alcoholic, Molecules: 123"
wine,ingredient,0.005,0.161,0.399,0.116,0.245,"Category: Beverage Alcoholic, Molecules: 155"
bilberry wine,ingredient,0.006,0.192,0.46,0.131,0.146,"Category: Beverage Alcoholic, Molecules: 130"
botrytized wine,ingredient,0.006,0.188,0.471,0.135,0.143,"Category: Beverage Alcoholic, Molecules: 133"
champagne,ingredient,0.006,0.195,0.459,0.133,0.148,"Category: Beverage Alcoholic, Molecules: 128"
cider,ingredient,0.0,0.115,0.54,0.161,0.218,"Category: Beverage Alcoholic, Molecules: 87"
plum wine,ingredient,0.006,0.194,0.456,0.132,0.147,"Category: Beverage Alcoholic, Molecules: 129"
port wine,ingredient,0.006,0.176,0.448,0.134,0.155,"Category: Beverage Alcoholic, Molecules: 142"
red wine,ingredient,0.005,0.186,0.483,0.126,0.15,"Category: Beverage Alcoholic, Molecules: 167"
rose wine,ingredient,0.006,0.194,0.446,0.127,0.149,"Category: Beverage Alcoholic, Molecules: 134"
sake,ingredient,0.0,0.257,0.303,0.257,0.114,"Category: Beverage Alcoholic, Molecules: 35"
sherry,ingredient,0.004,0.168,0.411,0.12,0.19,"Category: Beverage Alcoholic, Molecules: 184"
sparkling wine,ingredient,0.006,0.183,0.456,0.12,0.134,"Category: Beverage Alcoholic, Molecules: 142"
strawberry wine,ingredient,0.006,0.197,0.461,0.129,0.144,"Category: Beverage Alcoholic, Molecules: 132"
white wine,ingredient,0.004,0.16,0.442,0.142,0.129,"Category: Beverage Alcoholic, Molecules: 225"
coffee,ingredient,0.0,0.314,0.318,0.071,0.171,"Category: Beverage Caffeinated, Molecules: 269"
mate,ingredient,0.0,0.255,0.408,0.196,0.157,"Category: Beverage Caffeinated, Molecules: 51"
black tea,ingredient,0.009,0.176,0.341,0.047,0.129,"Category: Beverage Caffeinated, Molecules: 85"
green tea,ingredient,0.0,0.343,0.366,0.057,0.143,"Category: Beverage Caffeinated, Molecules: 35"
roibos tea,ingredient,0.0,0.231,0.615,0.077,0.154,"Category: Beverage Caffeinated, Molecules: 13"
barley,ingredient,0.0,0.187,0.369,0.113,0.34,"Category: Cereal, Molecules: 141"
crispbread,ingredient,0.0,0.217,0.435,0.087,0.304,"Category: Cereal, Molecules: 23"
malt,ingredient,0.0,0.361,0.348,0.121,0.187,"Category: Cereal, Molecules: 107"
oats,ingredient,0.005,0.209,0.361,0.135,0.271,"Category: Cereal, Molecules: 170"
rice,ingredient,0.008,0.201,0.351,0.141,0.23,"Category: Cereal, Molecules: 199"
corn,ingredient,0.004,0.133,0.343,0.125,0.29,"Category: Maize, Molecules: 200"
corn oil,ingredient,0.017,0.239,0.37,0.217,0.152,"Category: Maize, Molecules: 46"
popcorn,ingredient,0.0,0.422,0.319,0.135,0.216,"Category: Maize, Molecules: 37"
sweetcorn,ingredient,0.0,0.417,0.189,0.083,0.278,"Category: Maize, Molecules: 36"
butter,ingredient,0.0,0.151,0.38,0.197,0.122,"Category: Dairy, Molecules: 131"
buttermilk,ingredient,0.0,0.125,0.225,0.25,0.25,"Category: Dairy, Molecules: 16"
cheese,ingredient,0.007,0.279,0.321,0.162,0.145,"Category: Dairy, Molecules: 117"
blue cheese,ingredient,0.005,0.243,0.364,0.142,0.11,"Category: Dairy, Molecules: 155"
camembert cheese,ingredient,0.006,0.292,0.345,0.144,0.144,"Category: Dairy, Molecules: 132"
cheddar cheese,ingredient,0.005,0.261,0.354,0.149,0.122,"Category: Dairy, Molecules: 148"
comte cheese,ingredient,0.006,0.259,0.386,0.143,0.143,"Category: Dairy, Molecules: 126"
cottage cheese,ingredient,0.007,0.279,0.328,0.162,0.145,"Category: Dairy, Molecules: 117"
cream cheese,ingredient,0.007,0.281,0.324,0.155,0.147,"Category: Dairy, Molecules: 116"
domiati cheese,ingredient,0.007,0.286,0.33,0.158,0.14,"Category: Dairy, Molecules: 114"
emmental cheese,ingredient,0.007,0.295,0.33,0.158,0.132,"Category: Dairy, Molecules: 114"
feta cheese,ingredient,0.007,0.29,0.324,0.155,0.138,"Category: Dairy, Molecules: 116"
goat cheese,ingredient,0.007,0.279,0.33,0.171,0.128,"Category: Dairy, Molecules: 117"
gruyere cheese,ingredient,0.005,0.264,0.353,0.158,0.164,"Category: Dairy, Molecules: 146"
limburger cheese,ingredient,0.007,0.298,0.324,0.155,0.138,"Category: Dairy, Molecules: 116"
mozzarella cheese,ingredient,0.007,0.28,0.338,0.167,0.133,"Category: Dairy, Molecules: 120"
munster cheese,ingredient,0.007,0.288,0.333,0.159,0.133,"Category: Dairy, Molecules: 113"
other cheeses,ingredient,0.006,0.262,0.356,0.156,0.141,"Category: Dairy, Molecules: 128"
parmesan cheese,ingredient,0.005,0.216,0.349,0.144,0.162,"Category: Dairy, Molecules: 165"
provolone cheese,ingredient,0.006,0.261,0.339,0.176,0.136,"Category: Dairy, Molecules: 125"
romano cheese,ingredient,0.007,0.278,0.319,0.165,0.14,"Category: Dairy, Molecules: 121"
roquefort cheese,ingredient,0.007,0.286,0.33,0.158,0.132,"Category: Dairy, Molecules: 114"
russian cheese,ingredient,0.007,0.267,0.333,0.172,0.148,"Category: Dairy, Molecules: 122"
