entity_name,entity_type,salty,umami,sweet,sour,bitter,notes
bakery products,ingredient,0.0,0.967,0.167,0.0,0.333,"Category: Bakery, Molecules: 6"
bakery_products_sourdough,ingredient_processed,0.1,0.9,0.2,0.3,0.2,Lactic acid fermentation increases sourness and umami
bakery_products_brioche,ingredient_processed,0.1,0.9,0.3,0.0,0.2,Eggs and butter add richness and slight bitterness
bakery_products_burnt,ingredient_processed,0.0,0.8,0.6,0.0,0.5,Maillard reaction creates sweet-savory compounds and bitterness
bakery_products_yeasted,ingredient_processed,0.0,0.9,0.2,0.1,0.1,Yeast fermentation increases umami and slight sourness
bread,ingredient,0.0,0.163,0.347,0.163,0.302,"Category: Bakery, Molecules: 129"
bread_sourdough,ingredient_processed,0.1,0.3,0.4,0.2,0.1,Lactic acid bacteria produce acids (sour) and enhance umami
bread_toasted,ingredient_processed,0.0,0.2,0.5,0.0,0.4,Maillard reaction creates sweet-savory compounds
bread_burnt,ingredient_processed,0.0,0.1,0.6,0.0,0.6,Excessive Maillard reaction creates bitterness
bread_rye,ingredient_processed,0.0,0.2,0.3,0.2,0.2,Rye flour contains more acids (sour) and less sweetness
bread_wholegrain,ingredient_processed,0.0,0.2,0.4,0.1,0.2,Whole grain contains more bitterness and less sweetness
rye bread,ingredient,0.0,0.133,0.467,0.167,0.267,"Category: Bakery, Molecules: 30"
rye_bread_sourdough,ingredient_processed,0.1,0.2,0.5,0.3,0.2,Sourdough fermentation increases sourness and umami
rye_bread_toasted,ingredient_processed,0.0,0.2,0.6,0.0,0.3,"Toasting caramelizes sugars, increasing sweetness and bitterness"
rye_bread_rye_kneaded,ingredient_processed,0.0,0.2,0.5,0.1,0.2,Rye kneading increases bitterness due to tannins
rye_bread_sourdough_toasted,ingredient_processed,0.1,0.2,0.6,0.3,0.3,Combines effects of sourdough fermentation and toasting
wheaten bread,ingredient,0.0,0.293,0.393,0.2,0.167,"Category: Bakery, Molecules: 30"
wheaten_bread_toasted,ingredient_processed,0.1,0.3,0.4,0.1,0.2,"Heat caramelizes sugars, enhancing sweetness and bitterness"
wheaten_bread_sourdough,ingredient_processed,0.0,0.3,0.4,0.5,0.1,Sourdough fermentation increases sourness and umami
wheaten_bread_rye,ingredient_processed,0.0,0.3,0.2,0.3,0.2,Rye contains more bitter compounds and acids than wheat
wheaten_bread_wholegrain,ingredient_processed,0.0,0.3,0.4,0.2,0.2,Whole grain retains more bitter and sour compounds due to bran and germ
white bread,ingredient,0.0,0.077,0.538,0.077,0.154,"Category: Bakery, Molecules: 13"
white_bread_toasted,ingredient_processed,0.1,0.1,0.6,0.0,0.2,Maillard reaction creates umami and slight bitterness
white_bread_sourdough,ingredient_processed,0.0,0.1,0.5,0.2,0.1,Sourdough fermentation increases sourness
white_bread_rye,ingredient_processed,0.1,0.1,0.4,0.1,0.2,Rye fermentation increases sourness and bitterness
white_bread_brioche,ingredient_processed,0.0,0.1,0.6,0.0,0.1,Eggs and butter in brioche increase richness and sweetness
wholewheat bread,ingredient,0.014,0.19,0.221,0.103,0.276,"Category: Bakery, Molecules: 58"
wholewheat_bread_toasted,ingredient_processed,0.02,0.25,0.35,0.05,0.35,Maillard reaction creates umami and sweet compounds
wholewheat_bread_sourdough,ingredient_processed,0.01,0.22,0.25,0.15,0.28,Sourdough fermentation increases sourness and umami
wholewheat_bread_rye,ingredient_processed,0.02,0.20,0.20,0.12,0.30,Rye fermentation increases sourness and bitterness
wholewheat_bread_wholegrain,ingredient_processed,0.01,0.20,0.23,0.11,0.29,Whole grain processing increases bitterness
wort,ingredient,0.0,0.302,0.362,0.127,0.143,"Category: Beverage, Molecules: 63"
wort_fermented,ingredient_processed,0.0,0.6,0.2,0.8,0.1,Yeast fermentation produces alcohol (sweet) and acids (sour)
wort_smoked,ingredient_processed,0.1,0.5,0.4,0.0,0.3,Smoke compounds add umami and slight bitterness
wort_caramelized,ingredient_processed,0.0,0.4,0.6,0.0,0.3,Surface caramelization creates sweet-savory crust
wort_dried,ingredient_processed,0.0,0.2,0.4,0.0,0.3,Drying concentrates flavors and increases bitterness
arrack,ingredient,0.0,0.0,0.4,0.2,0.6,"Category: Beverage Alcoholic, Molecules: 5"
arrack_aged,ingredient_processed,0.1,0.2,0.5,0.3,0.4,Aging in oak barrels adds vanillin (sweet) and tannins (bitter)
arrack_distilled,ingredient_processed,0.0,0.1,0.6,0.1,0.7,"Distillation concentrates alcohol and reduces water content, enhancing bitterness"
arrack_flavored,ingredient_processed,0.0,0.1,0.6,0.3,0.5,"Flavoring adds sweet and bitter compounds, depending on the flavor used"
beer,ingredient,0.0,0.193,0.385,0.129,0.202,"Category: Beverage Alcoholic, Molecules: 263"
beer_fermented,ingredient_processed,0.0,0.3,0.2,0.8,0.1,Alcohol fermentation increases sourness and umami
beer_aged,ingredient_processed,0.0,0.2,0.4,0.1,0.3,Aging in wood barrels adds tannins (bitter) and vanillin (sweet)
beer_smoked,ingredient_processed,0.0,0.3,0.2,0.1,0.4,Smoke compounds add umami and bitterness
beer_caramelized,ingredient_processed,0.0,0.2,0.6,0.0,0.3,Caramelization creates sweet-savory compounds
bantu beer,ingredient,0.0,0.231,0.446,0.077,0.231,"Category: Beverage Alcoholic, Molecules: 13"
bantu_beer_fermented,ingredient_processed,0.0,0.4,0.2,0.8,0.1,Fermentation increases umami and sourness
bantu_beer_aged,ingredient_processed,0.0,0.3,0.5,0.1,0.2,Aging enhances sweetness and bitterness
bantu_beer_smoked,ingredient_processed,0.0,0.5,0.3,0.0,0.4,Smoke compounds add umami and slight bitterness
brandy,ingredient,0.0,0.256,0.48,0.12,0.26,"Category: Beverage Alcoholic, Molecules: 50"
brandy_distilled,ingredient_processed,0.0,0.3,0.5,0.1,0.2,Distillation concentrates alcohol and flavor compounds
brandy_aged,ingredient_processed,0.0,0.35,0.55,0.1,0.25,Aging in oak barrels adds vanillin (sweet) and other compounds
brandy_flambeed,ingredient_processed,0.0,0.3,0.6,0.1,0.3,"Flambeeing caramelizes sugars, adding sweetness and bitterness"
anise brandy,ingredient,0.0,0.251,0.471,0.137,0.255,"Category: Beverage Alcoholic, Molecules: 51"
anise_brandy_distilled,ingredient_processed,0.0,0.3,0.5,0.1,0.2,"Distillation concentrates flavors, increases sweetness"
anise_brandy_aged,ingredient_processed,0.0,0.3,0.6,0.1,0.2,Aging in oak barrels adds vanillin (sweet) and tannins (bitter)
anise_brandy_flamed,ingredient_processed,0.0,0.4,0.3,0.1,0.3,"Flambéing briefly caramelizes sugars, enhancing sweetness and bitterness"
apple brandy,ingredient,0.011,0.186,0.514,0.122,0.23,"Category: Beverage Alcoholic, Molecules: 74"
